field,type,description,nonempty_count,unique_nonempty_count,example_values
entry_id,primary_key string,Stable row identifier assigned during collation. Use as the primary key in the browser.,1996,1996,SOYRES-0001 | SOYRES-0002 | SOYRES-0003 | SOYRES-0004 | SOYRES-0005
target_group,categorical string,"Broad resistance target category such as Nematode, Oomycete, Fungal, Bacterial, Virus, Herbivore/insect, or Overview.",1996,7,Fungal | Oomycete | Nematode | Virus | Overview
source_category,categorical string,"Source stream for the row, e.g. main review table, supplementary review table, disease-scope row, or supplemental herbivore source.",1996,4,Review main table | Review supplementary table | Review disease scope | Supplemental herbivore source
source_table,categorical string,Original table or supplemental source bucket from which the row was extracted.,1996,27,Table 5 | Table 8 | Supplementary Table 3 | Table 6 | Supplementary Table 1
source_table_title,categorical string,Title or description of the original source table.,1996,27,Soybean resistance genes/alleles (Rps) and validated QTL/loci conferring resistance to Phytophthora root and stem rot | Validated loci associated with resistance to sudden death syndrome disease | Additional soybean loci conferring resistance to Sclerotinia stem rot | Soybean loci associated with resistance to Pythium damping-off and root rot | Additional soybean loci conferring resistance to Phytophthora root and stem rot
disease_or_pest,categorical string,"Disease, pathogen complex, or herbivore target for the resistance entry.",1996,40,Phytophthora root and stem rot | Sudden death syndrome | Sclerotinia stem rot | Pythium damping-off and root rot | Soybean rust
causal_agent_or_species,string,"Causal pathogen, nematode, virus, bacterial species, or herbivore species when available.",1996,115,Phytophthora sojae and other Phytophthora spp. | Fusarium virguliforme | Sclerotinia sclerotiorum | Pythium spp. | Phakopsora pachyrhizi
locus_or_allele,string,"Reported locus, QTL, gene, allele, or signal name.",998,421,- | – | 01 | (Chr. | namea
other_name,string,"Alternate reported name, synonym, or legacy locus name.",461,328,– | assay/isolate | Rolled towel | F6:7 (250) | Sat_064
MLG_chr,string,Original molecular linkage group and chromosome text as reported or parsed.,1013,210,(Chr. | MLG | (Chr.) | – | MLG G (Chr. 18)
chromosome,string/integer-like,Parsed chromosome number from 1 through 20; values may be taken directly from the source or deterministically assigned from an explicit legacy MLG.,679,20,14 | 18 | 13 | 3 | 8
linked_flanking_markers,string,Reported linked or flanking markers.,1499,1201,– | - | markers | R gene | – Field test
marker_position,string,Reported marker position or physical interval. Gmax2.0 is preferred when available.,1357,902,a2) | Field test | – | Greenhouse test | US)
assembly_or_coordinate_system,categorical string,Genome assembly or coordinate system for marker positions.,1996,3,Gmax2.0 where reported by review; otherwise cM or source assembly as shown | Gmax2.0 where marked a2; Gmax1.01 where marked a1; cM where no bp shown | Wm82.a2/Gmax2.0 where listed; otherwise source coordinate system as noted
resistance_spectrum_or_testing_method,string,"Race, HG type, isolate, biotype, insect species, testing method, or resistance spectrum details.",1306,380,"Greenhouse test | – | Greenhouse Screening | (IL, | Tray test/isolate Br2-3–5"
PVE_or_effect,string,"Phenotypic variation explained, effect size, or qualitative effect text as reported.",1128,603,– | - | 4-10% | Greenhouse Screening | R gene
population_type_size,string,Mapping or screening population type and sample size.,1179,424,– | USDA germplasm collection (474) | R gene | - | PI lines (254)
screening_environment,categorical string,"Environment or assay setting, such as greenhouse, field, lab, or multiple environments.",31,10,Greenhouse | PI 438489B | environment | Peking | Hartwig
donor_source,string,"Resistant donor parent, plant introduction, cultivar, line, or germplasm source.",1164,362,- | – | PI | IA3023 | Dos Santos et al. (2019)
candidate_genes,string,"Candidate gene, cloned gene, or functional annotation when reported.",139,84,"– | allele | Su88-M21 | PI 172901, | Sloan"
evidence_status,categorical string,"Evidence classification from the collation, including whether rows are review-reported, supplemental, validated, GWAS, or preliminary.",1996,14,as reported in review; curated status not independently revalidated | additional locus as reported in supplementary table | review scope row | GWAS significant SNP | no significant SNP reported in this GWAS
source_reference,string,Primary citation or source label retained from the extraction.,1907,266,"Lin et al. 2022, Breeding for disease resistance in soybean: a global perspective | Moellers et al. 2017 | (2019) | Scott et al. | Rolling et al. 2020"
source_url_or_doi,url_or_doi string,URL or DOI where available. Use this to create source links in the browser.,1996,8,https://doi.org/10.1007/s00122-022-04101-3 | https://static-content.springer.com/esm/art%3A10.1007%2Fs00122-022-04101-3/MediaObjects/122_2022_4101_MOESM1_ESM.docx | https://static-content.springer.com/esm/art%3A10.1007%2Fs00122-022-04101-3/MediaObjects/122_2022_4101_MOESM2_ESM.docx | https://static-content.springer.com/esm/art%3A10.1007%2Fs00122-022-04101-3/MediaObjects/122_2022_4101_MOESM3_ESM.docx | https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2017.00670
notes,categorical string,"Additional extraction notes, caveats, or interpretive comments.",58,21,"Review disease-scope row, not a QTL/locus record | Four SNPs significant; ss715609849 used as fixed covariate; LD around 27-30 Mb on chr11 in Wm82.a1 reported. | Authors report PLH locus close to but not overlapping pubescence density locus. | No additional significant signals after conditioning on ss715596142; position differs from Rag1 and is close to Rag3-1. | Authors report this as a novel region for SBL."
row_quality_flag,categorical string,Data-quality indicator from extraction. Treat rows flagged sparse/continuation or multi-line as needing manual verification.,1977,6,ok_extracted | ok_docx_supplement_extract | sparse_or_continuation | multi_line_extraction | sparse_or_continuation;multi_line_extraction
raw_row_text,string,Raw extracted row text retained for audit and manual correction.,1996,1717,(Chr. 14) | namea | (Chr.) | markers | Resistance | (size) | source | (Chr. | inoculation technique/ | isolate from Iowa
source_col_01,string,Raw source table column 01; retained to support manual validation of wrapped PDF/DOCX table rows.,797,211,Fusarium virguliforme | (Chr. | MLG N (Chr. 3) | MLG | MLG G (Chr. 18)
source_col_02,string,Raw source table column 02; retained to support manual validation of wrapped PDF/DOCX table rows.,1035,472,- | (Chr. | – | (Chr.) | MLG
source_col_03,string,Raw source table column 03; retained to support manual validation of wrapped PDF/DOCX table rows.,1203,765,– | - | MLG B2 | (Chr. 14) | (Chr.
source_col_04,string,Raw source table column 04; retained to support manual validation of wrapped PDF/DOCX table rows.,1291,957,– | markers | Greenhouse Screening | Field inoculation/isolate | R gene
source_col_05,string,Raw source table column 05; retained to support manual validation of wrapped PDF/DOCX table rows.,1311,705,Greenhouse test | – | a2) | - | Greenhouse Screening
source_col_06,string,Raw source table column 06; retained to support manual validation of wrapped PDF/DOCX table rows.,1293,445,– | USDA germplasm collection (474) | Greenhouse test | Field test | Tray test/isolate Br2-3–5
source_col_07,string,Raw source table column 07; retained to support manual validation of wrapped PDF/DOCX table rows.,1317,578,"- | – | (IL, | 4-10% | Accessions"
source_col_08,string,Raw source table column 08; retained to support manual validation of wrapped PDF/DOCX table rows.,1198,535,- | – | R gene | Allele T | Ghorbanipour et al.
source_col_09,string,Raw source table column 09; retained to support manual validation of wrapped PDF/DOCX table rows.,1057,338,- | – | Moellers et al. 2017 | Greenhouse | PI
source_col_10,string,Raw source table column 10; retained to support manual validation of wrapped PDF/DOCX table rows.,843,290,Scott et al. | Rolling et al. 2020 | – | (2019) | et al.
source_col_11,string,Raw source table column 11; retained to support manual validation of wrapped PDF/DOCX table rows.,341,141,– | (2019) | Sharma and Lightfoot (2014) | Abdelmajid et al. | et al.
source_col_12,string,Raw source table column 12; retained to support manual validation of wrapped PDF/DOCX table rows.,162,89,"– | Swaminathan et al. | allele | Su88-M21 | (2016), Chang"
source_col_13,string,Raw source table column 13; retained to support manual validation of wrapped PDF/DOCX table rows.,138,90,"Conrad | Dorrance et al. (2004), | Rolling et al. (2020) | – | Sharma and Lightfoot"
source_col_14,categorical string,Raw source table column 14; retained to support manual validation of wrapped PDF/DOCX table rows.,70,44,Stasko et al. (2016) | (2016) | (2020) | (2014) | Rolling et al. (2020)
